,0
Byen,874
Verden,671
Jorden,471
Skogen,460
Gaarden,448
Polden,408
Marken,305
Gaden,281
Amerika,254
Doppen,209
Sellanraa,135
Myren,130
Havet,130
Sirilund,127
Trondhjem,126
Lofoten,124
Norge,103
Bergen,92
England,75
Rusland,74
Tiflis,54
Breidablik,47
Nordland,45
Sverige,45
Prærien,42
Stortinget,39
Østen,35
Baku,34
Bjærget,34
Europa,33
Indien,32
Sagvika,30
Paris,30
Vangen,29
Bodø,28
Sydamerika,27
Mexico,26
London,23
Heia,23
Finland,23
Hannover,23
Ura,23
Kentucky,22
Moskva,22
Konstantinopel,22
Sveits,22
Tyskland,21
Australien,21
Steppen,21
Utvær,20
Finmarken,20
Aabakken,20
Argentina,19
Persien,18
Tromsø,17
Vælta,17
Berlin,17
Stokmarknes,16
Levanger,15
Bokhara,15
Afrika,14
Sortehavet,14
Grimstad,14
Natal,14
Vestfjorden,13
Stordalen,13
Harrow,12
Nuten,11
Kina,11
Aas,10
Hardanger,9
Drammen,9
Helsingfors,8
Chicago,8
Bolivia,8
Japan,8
Arendal,8
Italien,7
Ananur,7
Kanada,7
Mleti,6
Kvæfjord,6
Atlanterhavet,6
Polen,6
Stockholm,6
Orienten,6
Frankrike,5
Batum,5
Serbien,5
København,5
Wien,5
Cordilleras,4
Hamarøy,4
Kystby,4
Kreml,4
Danmark,4
Florø,4
Syden,3
Guinea,3
Petersburg,3
Gudbrandsdalen,3
Ungarn,3
Lom,3
Vadsø,3
Holmestrand,3
Quebec,3
Landvik,3
Spitsbergen,2
Nationen,2
Peru,2
Egypten,2
Bryne,2
Valdres,2
Grønland,2
Norden,2
Jerusalem,2
Munchen,2
Elverum,2
Haugesund,2
Hønefoss,1
Ganges,1
Odessa,1
Equador,1
California,1
Stranden,1
Mandal,1
Lillesand,1
Rostov,1
Hammerfest,1
Kongsberg,1
Marseille,1
Aurdal,1
Dakota,1
Garmo,1
Tvedestrand,1
Otta,1
Kairo,1
Suezkanalen,1
Hamar,1
Horten,1
Montana,1
Sørlandet,1
Svolvær,1
Belgien,1
Asien,1
Wisconsin,1
Gjøvik,1
Brevik,1
Sydafrika,1
Saba,1
Boston,1
